_id,image,posterImage,name,genre,desc,type,videoID,__v,rating,totalratings,upcomming
642d1275e2c06b8fb91c3196,https://api.movizrate.cloud/1698929189918.jpg,https://api.movizrate.cloud/1698929240427.jpeg,Into the Wild,"Biography, Adventure","Based on a true story. After graduating from Emory University, Christopher McCandless abandoned his possessions, gave his entire savings account to charity, and hitchhiked to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters who shape his life.",movie,XZG1FzyB8DI,0,17,2,false
642d12c4e2c06b8fb91c31af,https://api.movizrate.cloud/1698929315635.jpg,https://api.movizrate.cloud/1698929321752.jpg,John Wick: Chapter 4,"Action, Thriller","Condemned by the tyrannical High Table to be on the run for the rest of his life, deadly assassin maestro John Wick (2014) embarks on a Sisyphean mission of suicidal fury to decide his fate after the merciless carnage in John Wick: Chapter 3 - Parabellum (2019). At last, John's violent journey, fuelled by vengeance and grief, ultimately leads him to a fateful confrontation with his former employers, the crime masters that forced him into exile. And as the blood-stained vendetta to destroy those who pull the strings continues, old companions face the brutal consequences of friendship, and all-powerful, well-connected adversaries emerge to bring Wick's head on a platter. But talk is cheap--now guns have the final say. Can Baba Yaga, the grim messiah of death, make every bullet count in this bloody, once-and-for-all struggle for freedom?",movie,xVMkyDSqlH4,0,15,2,false
642d25495fe96eca9594e0da,https://api.movizrate.cloud/1698929400052.jpg,https://api.movizrate.cloud/1698929404565.jpg,The Dark Knight,"Action, Drama","Set within a year after the events of Batman Begins (2005), Batman, Lieutenant James Gordon, and new District Attorney Harvey Dent successfully begin to round up the criminals that plague Gotham City, until a mysterious and sadistic criminal mastermind known only as ""The Joker"" appears in Gotham, creating a new wave of chaos. Batman's struggle against The Joker becomes deeply personal, forcing him to ""confront everything he believes"" and improve his technology to stop him. A love triangle develops between Bruce Wayne, Dent, and Rachel Dawes.",movie,EXeTwQWrcwY,0,19,2,false
642d27685fe96eca9594e128,https://api.movizrate.cloud/1699001637103.jpg,https://api.movizrate.cloud/1699001640205.jpg,Avengers: Endgame,"Action, Drama","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos's actions and undo the chaos to the universe, no matter what consequences may be in store, and no matter who they face...",movie,TcMBFSGVi1c,0,18,2,false
642d3c825fe96eca9594e23f,https://api.movizrate.cloud/1699000789865.jpg,https://api.movizrate.cloud/1699000793394.jpg,Spider-Man: Homecoming,"Action, Fantasy","A young Peter Parker/Spider-Man begins to navigate his newfound identity as web-slinging superhero Spider-Man. Thrilled by his experience with the Avengers, Peter returns home, where he lives with his Aunt May, under the watchful eye of his new mentor Tony Stark. Peter tries to fall back into his normal daily routine--distracted by thoughts of proving himself to be more than just your friendly neighborhood Spider-Man--but when the Vulture emerges as a new villain, everything that Peter holds most important will be threatened.",movie,rk-dF1lIbIg,0,23,3,false
642d3ec65fe96eca9594e2c0,https://api.movizrate.cloud/1699000861336.jpg,https://api.movizrate.cloud/1699000865568.jpg,Spider-Man: Far from Home,"Action, Comedy","Our friendly neighborhood Super Hero decides to join his best friends Ned, MJ, and the rest of the gang on a European vacation. However, Peter's plan to leave super heroics behind for a few weeks are quickly scrapped when he begrudgingly agrees to help Nick Fury uncover the mystery of several elemental creature attacks, creating havoc across the continent.",movie,Nt9L1jCKGnE,0,14,2,false
642d40bd5fe96eca9594e328,https://api.movizrate.cloud/1699000925481.jpg,https://api.movizrate.cloud/1699000952133.jpg,Spider-Man: No Way Home,"Action, Fantasy","Peter Parker's secret identity is revealed to the entire world. Desperate for help, Peter turns to Doctor Strange to make the world forget that he is Spider-Man. The spell goes horribly wrong and shatters the multiverse, bringing in monstrous villains that could destroy the world.",movie,JfVOs4VSpmA,0,10,2,false
642db02c5fe96eca9594e725,https://api.movizrate.cloud/1699001036009.jpg,https://api.movizrate.cloud/1699001019936.jpg,Breaking Bad,"Thriller, Drama","Walter H. White is a chemistry genius, but works as a chemistry teacher in an Albequerque, New Mexico high school. His life drastically changes when he's diagnosed with stage III terminal lung cancer, and given a short amount of time left to live: a mere matter of months. To ensure his handicapped son and his pregnant wife have a financial future, Walt uses his chemistry background to create and sell the world's finest crystal methamphetamine. To sell his signature ""blue meth,"" he teams up with Jesse Pinkman, a former student of his. The meth makes them very rich very quickly, but it attracts the attention of his DEA brother in law Hank. As Walt and Jesse's status in the drug world escalates, Walt becomes a dangerous criminal and Jesse becomes a hot-headed salesman. Hank is always hot on his tail, and it forces Walt to come up with new ways to cover his tracks.",tvseries,HhesaQXLuRY,0,15,2,false
642db2285fe96eca9594e7b5,https://api.movizrate.cloud/1699001084203.jpg,https://api.movizrate.cloud/1699001087868.jpg,El Camino: A Breaking Bad Movie,"Crime, Drama","Finally free from torture and slavery at the hands of Tod's uncle Jack, and from Mr. White, Jesse must escape demons from his past. He's on the run from a police manhunt, with his only hope of escape being Saul Goodman's hoover guy, Ed Galbraith. A man who for the right price, can give you a new identity and a fresh start. Jesse is racing against the clock, with help from his crew, avoiding capture to get enough money together to buy a 'new dust filter for his Hoover MaxExtract PressurePro model', a new life.",movie,1JLUn2DFW4w,0,7,1,false
642db33f5fe96eca9594e7e2,https://api.movizrate.cloud/1699001140132.jpg,https://api.movizrate.cloud/1699001143723.jpg,Better Call Saul,"Crime, Drama","Before Saul Goodman, he was Jimmy McGill. And if you're calling Jimmy, you're in real trouble. The prequel to ""Breaking Bad"" follows small-time attorney, Jimmy McGill, as he transforms into Walter White's morally challenged lawyer, Saul Goodman.",tvseries,HN4oydykJFc,0,7,1,false
642db6335fe96eca9594e868,https://api.movizrate.cloud/1699001279942.jpg,https://api.movizrate.cloud/1699001204099.jpg,The Dark Knight Rises,"Action, Drama","Despite his tarnished reputation after the events of The Dark Knight (2008), in which he took the rap for Dent's crimes, Batman feels compelled to intervene to assist the city and its Police force, which is struggling to cope with Bane's plans to destroy the city.",movie,GokKUqLcvD8,0,18,2,false
642e91465fe96eca9594eca0,https://api.movizrate.cloud/1698929478618.jpg,https://api.movizrate.cloud/1698929484952.jpg,Inception,"Sci-Fi, Adventure","Dom Cobb is a skilled thief, the absolute best in the dangerous art of extraction, stealing valuable secrets from deep within the subconscious during the dream state, when the mind is at its most vulnerable. Cobb's rare ability has made him a coveted player in this treacherous new world of corporate espionage, but it has also made him an international fugitive and cost him everything he has ever loved. Now Cobb is being offered a chance at redemption. One last job could give him his life back but only if he can accomplish the impossible, inception. Instead of the perfect heist, Cobb and his team of specialists have to pull off the reverse: their task is not to steal an idea, but to plant one. If they succeed, it could be the perfect crime. But no amount of careful planning or expertise can prepare the team for the dangerous enemy that seems to predict their every move. An enemy that only Cobb could have seen coming.",movie,8hP9D6kZseM,0,9,1,false
642e93ad5fe96eca9594ecfd,https://api.movizrate.cloud/1698929553744.jpg,https://api.movizrate.cloud/1698929557885.jpg,The Wolf of Wall Street,"Biography, Comedy","In the early 1990s, Jordan Belfort teamed with his partner Donny Azoff and started brokerage firm Stratton Oakmont. Their company quickly grows from a staff of 20 to a staff of more than 250 and their status in the trading community and Wall Street grows exponentially. So much that companies file their initial public offerings through them. As their status grows, so do the amount of substances they abuse, and so do their lies. They draw attention like no other, throwing lavish parties for their staff when they hit the jackpot on high trades. That ultimately leads to Belfort featured on the cover of Forbes Magazine, being called ""The Wolf Of Wall Street."" With the FBI onto Belfort's trading schemes, he devises new ways to cover his tracks and watch his fortune grow. Belfort ultimately comes up with a scheme to stash their cash in a European bank. But with the FBI watching him like a hawk, how long will Belfort and Azoff be able to maintain their elaborate wealth and luxurious lifestyles?",movie,iszwuX1AK6A,0,15,2,false
642e95cf5fe96eca9594ed6d,https://api.movizrate.cloud/1698929645480.jpg,https://api.movizrate.cloud/1698929655281.jpg,Once Upon a Time... in Hollywood,"Comedy, Drama","Quentin Tarantino's Once Upon a Time... in Hollywood visits 1969 Los Angeles, where everything is changing, as TV star Rick Dalton (Leonardo DiCaprio) and his longtime stunt double Cliff Booth (Brad Pitt) make their way around an industry they hardly recognize anymore. The ninth film from the writer-director features a large ensemble cast and multiple storylines in a tribute to the final moments of Hollywood's golden age.",movie,ELeMaP8EPAA,0,7,1,false
642e9a485fe96eca9594edba,https://api.movizrate.cloud/1698929754468.jpg,https://api.movizrate.cloud/1698929757453.jpg,True Detective,"Mystery, Crime","In 2012, Louisiana State Police Detectives Rust Cohle and Martin Hart are brought in to revisit a homicide case they worked in 1995. As the inquiry unfolds in present day through separate interrogations, the two former detectives narrate the story of their investigation, reopening unhealed wounds, and drawing into question their supposed solving of a bizarre ritualistic murder in 1995. The timelines braid and converge in 2012 as each man is pulled back into a world they believed they'd left behind. In learning about each other and their killer, it becomes clear that darkness lives on both sides of the law.",tvseries,fVQUcaO4AvE,0,7,1,false
642e9cd95fe96eca9594ee40,https://api.movizrate.cloud/1698929807252.jpg,https://api.movizrate.cloud/1698929811269.jpg,Friends,"Comedy, Romance","Ross Geller, Rachel Green, Monica Geller, Joey Tribbiani, Chandler Bing, and Phoebe Buffay are six twenty-somethings living in New York City. Over the course of 10 years and seasons, these friends go through life lessons, family, love, drama, friendship, and comedy.",tvseries,IEEbUzffzrk,0,7,1,false
642eceb95fe96eca9594f20f,https://api.movizrate.cloud/1698929867704.jpg,https://api.movizrate.cloud/1698929891949.jpg,The Big Bang Theory,"Comedy, Romance","Leonard Hofstadter and Sheldon Cooper are both brilliant physicists working at Cal Tech in Pasadena, California. They are colleagues, best friends, and roommates, although in all capacities their relationship is always tested primarily by Sheldon's regimented, deeply eccentric, and non-conventional ways. They are also friends with their Cal Tech colleagues mechanical engineer Howard Wolowitz and astrophysicist Rajesh Koothrappali. The foursome spend their time working on their individual work projects, playing video games, watching science-fiction movies, or reading comic books. As they are self-professed nerds, all have little or no luck with women. When Penny, a pretty woman and an aspiring actress from Omaha, moves into the apartment across the hall from Leonard and Sheldon's, Leonard has another aspiration in life, namely to get Penny to be his girlfriend.",tvseries,WBb3fojgW0Q,0,8,1,false
642ed0975fe96eca9594f331,https://api.movizrate.cloud/1698929968921.jpg,https://api.movizrate.cloud/1698929972472.jpg,How I Met Your Mother,"Comedy, Drama","Ted Mosby sits down with his kids, to tell them the story of how he met their mother. The story is told through memories of his friends Marshall, Lily, Robin, and Barney Stinson. All legendary 9 seasons lead up to the moment of Ted's final encounter with ""the one.""",tvseries,cjJLEYMzpjc,0,8,1,false
642ed2345fe96eca9594f3bb,https://api.movizrate.cloud/1698930068078.jpg,https://api.movizrate.cloud/1698930071423.jpg,Wanted,"Action, Crimr","Mumbai-based middle-classed Jhanvi, who lives with her widowed mother and younger brother, has three suitors. The first is much older and considerably overweight - Sonu Gates. The second is Police Inspector Talpade, who is already married to Nandini, but lusts after Jhanvi so much so that he creates circumstances that will force her to marry him. The third is a male named Radhey - who often comes to her rescue - but breaks her heart when she finds out who is really is - a cold-blooded killer who works for a gangster named Ghanibhai. The later is a ruthless gangster who challenges Police Commissioner Ashraf Taufeeq Khan with impunity, and even abducts his daughter to ensure his personal safety.",movie,l4kF7ZXja8s,0,7,1,false
642ed2505fe96eca9594f3be,https://api.movizrate.cloud/1698930129005.jpg,https://api.movizrate.cloud/1698930135364.jpg,Game of Thrones,"Action, Drama","In the mythical continent of Westeros, several powerful families fight for control of the Seven Kingdoms. As conflict erupts in the kingdoms of men, an ancient enemy rises once again to threaten them all. Meanwhile, the last heirs of a recently usurped dynasty plot to take back their homeland from across the Narrow Sea.",tvseries,KPLWWIOCOOQ,0,9,1,false
642ed43f5fe96eca9594f46c,https://api.movizrate.cloud/1698930215241.jpg,https://api.movizrate.cloud/1698930220379.jpg,Bajrangi Bhaijaan,"Adventure, Comedy","A little mute girl from a Pakistani village gets lost on her return back from a trip to India. In Kurukshetra, she meets Pawan - an ardent devotee of Lord Hanuman - who is in the midst of a challenge posed by his lover's father. In trying to discover the girl's parents, he develops an unshakable bond with her. He tries to get into Pakistan through a path righteous to his conscience and later, accompanied with a smart Pakistani news reporter - a story that captures the imagination of the public in both countries.",movie,4nwAra0mz_Q,0,7,1,false
642ed4cb5fe96eca9594f48f,https://api.movizrate.cloud/1698930307562.jpg,https://api.movizrate.cloud/1698930311916.jpg,The Queen's Gambit,Drama,"Nine year-old orphan Beth Harmon is quiet, sullen, and by all appearances unremarkable. That is, until she plays her first game of chess. Her senses grow sharper, her thinking clearer, and for the first time in her life she feels herself fully in control. By the age of sixteen, she's competing for the U.S. Open championship. But as Beth hones her skills on the professional circuit, the stakes get higher, her isolation grows more frightening, and the thought of escape becomes all the more tempting. Based on the book by Walter Tevis.",tvseries,oZn3qSgmLqI,0,8,1,false
642ed6505fe96eca9594f5dd,https://api.movizrate.cloud/1698930385025.jpg,https://api.movizrate.cloud/1698930388346.jpg,Bodyguard,"Action, Comedy","Reading from a diary, a lad comes to know about a nobleman from Jaisinghpur, Sartaj Rana, who invited the wrath of the Mhatre brothers, Ranjan and Vikrant, by sending Lovely Singh to free abducted women bound for Thailand. Feeling threatened, he hires Lovely as a bodyguard for his collegian daughter, Divya, and her friend, Maya. Divya does not appreciate being followed around by Lovely and creates a fictional woman, Chhaya, who distracts him by repeatedly phoning him and telling him that she loves him. Lovely believes this person to be real and falls in love. In a bar, Ranjan's brother attacks Divya and is killed by Lovely - setting into motion a chain of events that will pit Lovely not only against the enraged Mhatre brothers but also against Sartaj himself, who believes that Lovely is attempting to elope with his daughter.",movie,FzlWYkckA24,0,6,1,false
642eeecc5fe96eca9594fc2d,https://api.movizrate.cloud/1698930568556.jpg,https://api.movizrate.cloud/1698930600474.jpg,Baaghi,"Action, Romance",A martial arts student seeks revenge after the murder of his master.,movie,FV-3avN3Oxc,0,6,1,false
